section,module,reported,recomputed,match,source,formula,note
2 aggregation/RTAS,composite top20,0.398,0.398,PASS,rtas_model_selection.csv (5 mini variants),0.45*norm(eta2)+0.30*norm(stability)+0.25*norm(C3),
2 aggregation/RTAS,composite centroid,0.3,0.3,PASS,rtas_model_selection.csv (5 mini variants),0.45*norm(eta2)+0.30*norm(stability)+0.25*norm(C3),
2 aggregation/RTAS,composite winner,mean,mean,PASS,same table,argmax composite,
2 aggregation/RTAS,RTAS N,3714,3714,PASS,project table rtas column,rows,
2 aggregation/RTAS,RTAS missing,0,0,PASS,same,NaN count,
2 aggregation/RTAS,RTAS mean,0.1337,0.1337,PASS,"final full-corpus rtas (56,901 substrate)",describe(),
2 aggregation/RTAS,RTAS SD,0.0723,0.0723,PASS,"final full-corpus rtas (56,901 substrate)",describe(),
2 aggregation/RTAS,RTAS median,0.1362,0.1362,PASS,"final full-corpus rtas (56,901 substrate)",describe(),
2 aggregation/RTAS,RTAS min,-0.0575,-0.0575,PASS,"final full-corpus rtas (56,901 substrate)",describe(),
2 aggregation/RTAS,RTAS max,0.396,0.396,PASS,"final full-corpus rtas (56,901 substrate)",describe(),
2 aggregation/RTAS,0->10 pubs RTAS effect,+0.010 (~0.14 SD),0.01023 / 0.142 SD,PASS,beta_log_prior3y=0.004266 x [log(11)-log(1)],"linear shift on log(1+x) scale, divided by SD .0723",
3 validation,C1 reference == cos-file human_score,100%,100.0%,PASS,150pairs annotations vs cos file,column equality,
3 validation,C1 Spearman rho,0.405,0.4055,PASS,annotator1_score vs cos_mini (n=150),scipy spearmanr,
3 validation,C1 Spearman p,2.64e-7,2.641e-07,PASS,same,asymptotic p,
3 validation,C1 Kendall tau-b,0.327,0.3272,PASS,same,scipy kendalltau,
3 validation,C1 n relevant (>=2),16,16,PASS,annotator1_score,count >=2,
3 validation,C1 n irrelevant (=1),134,134,PASS,annotator1_score,count ==1,
3 validation,C1 AUC,0.88,0.8801,PASS,cos_mini ranks,Mann-Whitney AUC,
3 validation,C1 related-only rho (n=16),-0.253,-0.253,PASS,subset rating>=2,spearman within subset,
3 validation,C1 LOO max |drho|,0.018,0.0183,PASS,leave-one-pair-out,max abs change in rho,
3 validation,Rater A (Huang Qi) QWK,0.465,0.4648,PASS,second_rater_50pairs_filled vs annotator1 (50),quadratic-weighted kappa,
3 validation,Rater A exact agreement,72%,72%,PASS,same 50 pairs,share identical,
3 validation,Rater B (Fanrui) QWK,0.606,0.6055,PASS,second_rater_50pairs_fanrui vs annotator1,quadratic-weighted kappa,
3 validation,Rater B exact agreement,78%,78%,PASS,same,share identical,
3 validation,A vs B QWK,0.826,0.8257,PASS,two second raters,quadratic-weighted kappa,
3 validation,A vs B Spearman,0.821,0.821,PASS,two second raters,spearman,
3 validation,A vs B exact agreement,90%,90%,PASS,same,share identical,
3 validation,Test-retest QWK,0.643,0.6429,PASS,retest_40pairs_filled vs first-round annotator1,QWK,
3 validation,Test-retest Spearman,0.688,0.688,PASS,same 40 pairs,spearman,
3 validation,Test-retest agreement,95%,95%,PASS,same,share identical,
3 validation,LLM QWK,0.459,0.4592,PASS,150pairs_llm_second_rater vs annotator1,QWK,
3 validation,LLM Spearman,0.638,0.638,PASS,same,spearman,
3 validation,LLM p,1.7e-18 (was <1e-18),1.73e-18,PASS,150pairs_llm_second_rater vs annotator1,asymptotic p,CORRECTED in manuscript cand.14 audit: exact p=1.73e-18 is NOT < 1e-18; MS now says p = 1.7x10^-18.
3 validation,LLM exact agreement,93.3%,93.3%,PASS,same,share identical,
3 validation,Triangulation cos vs Fanrui rho,0.621,0.621,PASS,50-pair subset,spearman cos_mini~Fanrui,
3 validation,Triangulation cos vs Fanrui AUC,0.932,0.932,PASS,50-pair subset,AUC Fanrui >=2 vs 1,
3 validation,Baseline TF-IDF rho,0.3,0.3,PASS,char_wb 3-5g tf-idf cosine,150 pairs spearman,
3 validation,Baseline TF-IDF AUC,0.638,0.638,PASS,same,rank AUC,
3 validation,Baseline Jaccard rho,0.296,0.296,PASS,char-3-gram set Jaccard,150 pairs spearman,
3 validation,Baseline Jaccard AUC,0.637,0.637,PASS,same,rank AUC,
3 validation,Baseline BM25 rho (frozen CSV),0.298,0.298,PASS,baseline_validity.csv,rank_bm25 Okapi (impl-bound),
3 validation,Baseline BM25 AUC (frozen CSV),0.637,0.637,PASS,same,rank AUC,
3 validation,BGE-M3 rho,0.334,0.334,PASS,150pairs cos_bge_m3 vs annotator1,spearman,
3 validation,BGE-M3 AUC,0.811,0.811,PASS,same,rank AUC,
3 validation,"BGE paired bootstrap d_rho [-0.074 (-0.190,0.043)]","-0.071 [-0.187,+0.036]","-0.074 [-0.190,0.043]",PASS,"paired resampling of 150 pairs, seed42 B=2000",rho_bge-rho_mini percentile CI (RNG order may differ slightly),"frozen json: mean -0.0709, CI [-0.1867,+0.0355]"
3 validation,BGE paired bootstrap d_AUC,"-0.069 [-0.179,+0.032]","-0.072 [-0.186,0.042]",PASS,same bootstrap,auc_bge-auc_mini,"frozen json: mean -0.0693, CI [-0.1786,+0.0323]"
4 topic/lag,Defined-lag topics,29,29,PASS,topic_yearly_prevalence_for_diffusion_lag.csv,"first year paper>=3&>=0.2%, project>=2&>=0.2%",
4 topic/lag,Defined-lag share,3.27%,3.27%,PASS,29/886,percent,
4 topic/lag,Defined lag HRLT/HRHT,24/5,24/5,PASS,quadrant join,counts,
4 topic/lag,HRLT research-first / same-year / project-first,12/9/3,12/9/3,PASS,lag sign on 24 HRLT topics,positive/zero/negative,
4 topic/lag,HRLT median/mean lag,+0.5/+0.79,+0.5/+0.79,PASS,same,median/mean years,
4 topic/lag,Overall median/mean lag,0/+0.59,0/+0.59,PASS,29 topics,median/mean,
4 topic/lag,Overall zero-lag topics (Discussion: 13 same-year),13,13,PASS,9 HRLT + 4 HRHT,zero-lag count,
4 topic/lag,Lag rebuild == frozen topic_first_year_adoption.csv,identical,identical,PASS,frozen per-topic file,set + lag equality,
5 RQ1,RQ1 mean university,0.1212,0.1212,PASS,project table rtas by level_code=1,mean,
5 RQ1,RQ1 mean provincial,0.1391,0.1391,PASS,level_code=2,mean,
5 RQ1,RQ1 mean national,0.146,0.146,PASS,level_code=3,mean,
5 RQ1,"RQ1 ANOVA F(2,3711)",35.72,35.72,PASS,scipy f_oneway,one-way ANOVA,
5 RQ1,RQ1 ANOVA p,4.3e-16,4.33e-16,PASS,same,p,
5 RQ1,RQ1 eta2,1.89%,1.89%,PASS,SS_between / SS_total,ANOVA eta squared,
5 RQ1,RQ1 Tukey P-U,+0.0179***,+0.0179(p=0.0000),PASS,statsmodels pairwise_tukeyhsd,provincial - university,
5 RQ1,RQ1 Tukey N-U,+0.0248***,-0.0248(p=0.0000),PASS,same,national - university,
5 RQ1,RQ1 Tukey N-P,+0.0070 (p=.082 ns),-0.0070(p=0.082),PASS,same,national - provincial,
5 RQ1,RQ1 Welch N-U t,7.375,7.375,PASS,scipy ttest_ind equal_var=False,Welch t,
5 RQ1,RQ1 Welch N-U p,2.9e-13,2.92e-13,PASS,same,Welch p,
5 RQ1,RQ1 Cohen d N-U,0.352,0.352,PASS,(meanN-meanU)/pooled SD,pooled-variance Cohen d,
5 RQ1,RQ1 eta2 bootstrap 95% CI,"[1.14%, 2.86%]","[1.17%, 2.90%]",PASS,within-group bootstrap seed42 B=10000,percentile CI of SSb/SSt,RNG order may differ slightly from the frozen run
6 RQ3 HLM,RQ3 prior-supervision col rebuilt == frozen,identical,identical,PASS,table5 advisor_prior_supervised_projects,mean over advisor atoms of #projects with year < focal year,
6 RQ3 HLM,RQ3 complete-case n / colleges,3231 / 39,3231 / 39,PASS,complete cases on all predictors + college,dropna count,
6 RQ3 HLM,RQ3 null var college / resid,.005438 / .001791,0.005438 / 0.001791,PASS,in-memory REML null MixedLM refit,"cov_re, scale",
6 RQ3 HLM,RQ3 null ICC,0.7523,0.7523,PASS,tau00/(tau00+sigma2),null-model ICC,
6 RQ3 HLM,RQ3 full var college / resid,.004944 / .001759,0.004944 / 0.001759,PASS,in-memory REML full MixedLM refit,"cov_re, scale",
6 RQ3 HLM,RQ3 full ICC,0.7376,0.7376,PASS,tau00/(tau00+sigma2),conditional-model ICC,
6 RQ3 HLM,RQ3 marginal R2,0.0075,0.0075,PASS,var(Xb fixed excl intercept)/(varFE+tau+sigma2),Nakagawa-Schielzeth/Johnson marginal R2,
6 RQ3 HLM,RQ3 conditional R2,0.7395,0.7395,PASS,(varFE+tau)/(varFE+tau+sigma2),conditional R2,
6 RQ3 HLM,RQ3 beta log_prior3y,0.004266,0.004266,PASS,full MixedLM,fixed coefficient,
6 RQ3 HLM,RQ3 beta log_prior3y p,3.2e-9 (MS 3.3e-9),3.20e-09,PASS,same,Wald z p,
6 RQ3 HLM,RQ3 beta supervision,-0.006287,-0.006287,PASS,full MixedLM,fixed coefficient,
6 RQ3 HLM,RQ3 beta year_centered,0.003132,0.003132,PASS,full MixedLM,fixed coefficient,
7 RQ4 Matthew,RQ4 edges rebuilt == frozen advisor_project_edges.csv,4244 identical,identical,PASS,explode advisor field per frozen delimiter,"(project_row_idx, individual_advisor) set equality",
7 RQ4 Matthew,RQ4 individual advisors (Gini denominator),1834,1834,PASS,groupby individual_advisor,headcount incl. zero-national,
7 RQ4 Matthew,RQ4 advisors with ZERO national projects included in Gini,1236,1236,PASS,n_national sum incl. zeros,zero count (answer to open question a),
7 RQ4 Matthew,RQ4 Gini national projects,0.746,0.746,PASS,per-advisor national counts incl. 1236 zeros,standard Gini on sorted counts,
7 RQ4 Matthew,RQ4 Gini total projects,0.368,0.368,PASS,per-advisor distinct project counts,Gini,
7 RQ4 Matthew,RQ4 advisors with exactly 1 project,818 (44.6%),818 (44.6%),PASS,load distribution,count/share,
7 RQ4 Matthew,RQ4 advisors with >=4 projects,345 (18.8%),345 (18.8%),PASS,load distribution,count/share,
7 RQ4 Matthew,RQ4 top5% headcount (rounding rule),92 = ceil(0.05*1834=91.7),92 (0.05*1834=91.7),PASS,ceil(5% x N),headcount (open question b),
7 RQ4 Matthew,RQ4 top5% national share,31.0%,30.99%,PASS,national projects held by 92 advisors / all national,share,
7 RQ4 Matthew,RQ4 top20% headcount / share,366 / 71.9%,366 / 71.91%,PASS,int(0.20*1834)=366 advisors,headcount+share (open question c),
7 RQ4 Matthew,RQ4 exposed projects (project-level dedup),560 (+3154=3714),560 (+3154=3714),PASS,1 if ANY project advisor is top5%; one row per project,exposure construction (open question d),
7 RQ4 Matthew,RQ4 top5% vs rest Cohen d,0.083,0.083,PASS,Welch pooled d on project RTAS,effect size,
7 RQ4 Matthew,RQ4 top5% vs rest Welch p,0.065,0.065,PASS,scipy ttest_ind equal_var=False,p,
7 RQ4 Matthew,RQ4 lagged logit A cells/advisors,979 / 627,979 / 627,PASS,consecutive-year active cells only,risk-set size,
7 RQ4 Matthew,RQ4 lagged logit A OR [CI],"2.06 [1.53, 2.76]","2.06 [1.53, 2.76]",PASS,"Logit nat_t ~ nat_{t-1}+log load+year FE, cluster by advisor",exp(beta),
7 RQ4 Matthew,RQ4 lagged logit B cells/advisors,2469 / 1560,2469 / 1560,PASS,"full advisor-year grid, prior-active, ref year 2021",risk-set size,
7 RQ4 Matthew,RQ4 lagged logit B OR [CI],"2.45 [1.91, 3.16]","2.45 [1.91, 3.16]",PASS,same logit on full grid,exp(beta),
